stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_stationroutes,
2660,2660,"114 Street & 83 Avenue",,  53.519023,-113.525629,,,0,4:106:313:926,
2661,2661,"106 Street & 56 Avenue",,  53.493185,-113.503574,,,0,52,
2662,2662,"99 Street & 56 Avenue",,  53.492023,-113.486226,,,0,70,
2663,2663,"113 Street & 61 Avenue",,  53.498682,-113.522579,,,0,54:55,
2664,2664,"106 Street & 64 Avenue",,  53.500785,-113.504497,,,0,52:54,
2665,2665,"106 Street & 60A Avenue",,  53.496136,-113.504494,,,0,52,
2666,2666,"117 Street & 87 Avenue",,  53.522890,-113.532039,,,0,128:130:725:757,
2667,2667,"109 Street & 65 Avenue",,  53.502030,-113.512594,,,0,51:313,
2668,2668,"109 Street & 70 Avenue",,  53.506242,-113.512184,,,0,9:51,
2669,2669,"104 Street & 80 Avenue",,  53.515699,-113.497748,,,0,52:54:327,
2670,2670,"118 Street & 74 Avenue",,  53.510503,-113.534585,,,0,327,
2671,2671,"99 Street & 60 Avenue",,  53.495504,-113.486262,,,0,70,
2672,2672,"105 Street & 56 Avenue",,  53.493187,-113.500663,,,0,52,
2673,2673,"95 Street & 58 Avenue",,  53.493865,-113.474735,,,0,80,
2674,2674,"109 Street & 57 Avenue",,  53.494141,-113.512522,,,0,9:55,
2675,2675,"104 Street & 86 Avenue",,  53.522064,-113.497430,,,0,52,
2677,2677,"118 Street & 76 Avenue",,  53.511907,-113.534705,,,0,327,
2678,2678,"118 Street & 76 Avenue",,  53.512187,-113.534147,,,0,327,
2679,2679,"99 Street & 85 Avenue",,  53.521318,-113.486039,,,0,7:57:70:81:87,
2680,2680,"109 Street & 82 Avenue",,  53.518008,-113.510813,,,0,4:7:54:57:94:327,
2681,2681,"101 Street & 82 Avenue",,  53.517966,-113.490971,,,0,4:7:57:94,
2682,2682,"99 Street & 62 Avenue",,  53.499162,-113.486372,,,0,70,
2683,2683,"106 Street & 82 Avenue",,  53.518159,-113.503845,,,0,4:7:54:57:94,
2684,2684,"91 Street & 58 Avenue",,  53.493971,-113.468108,,,0,80,
2685,2685,"99 Street & 51 Avenue",,  53.488959,-113.485959,,,0,70,
2686,2686,"110 Street & 82 Avenue",,  53.518010,-113.514677,,,0,4:7:51:54:57:94,
2688,2688,"99 Street & 80 Avenue",,  53.515846,-113.486256,,,0,70:81,
2689,2689,"109 Street & 82 Avenue",,  53.518197,-113.513224,,,0,4:7:51:54:57:94:313:739,
2690,2690,"109 Street & 82 Avenue",,  53.517676,-113.512268,,,0,9:51:313,
2691,2691,"116 Street & 76 Avenue",,  53.512191,-113.530903,,,0,327,
2692,2692,"99 Street & 76 Avenue",,  53.512634,-113.486003,,,0,70:81,
2693,2693,"17 Street & Oak Ridge Drive",,  53.503012,-113.367644,,,0,83:306,
2694,2694,"Meadow Drive & Maple Ridge Drive",,  53.499225,-113.364842,,,0,83,
2695,2695,"118 Street & 74 Avenue",,  53.510116,-113.534703,,,0,327,
2696,2696,"106 Street & 62 Avenue",,  53.499141,-113.504335,,,0,52:54,
2697,2697,"99 Street & 82 Avenue",,  53.517735,-113.486012,,,0,70:81,
2699,2699,"Allard Way & 52 Avenue",,  53.488459,-113.497693,,,0,52,
2701,2701,"South Campus Transit Centre Fort Edmonton Park",,  53.503768,-113.528963,,,0,106:133,
2702,2702,"South Campus Transit Centre Fort Edmonton Park",,  53.503482,-113.528973,,,0,4:926,
2703,2703,"South Campus Transit Centre Fort Edmonton Park",,  53.503270,-113.528973,,,0,36:697,
2704,2704,"South Campus Transit Centre Fort Edmonton Park",,  53.503102,-113.528988,,,0,30:330,
2705,2705,"South Campus Transit Centre Fort Edmonton Park",,  53.502897,-113.528977,,,0,32,
